BOROUGH,PRICE,NAME,SERVICE,NUM_RATING,RATING,LOCATION,ATTRACTION,ACCOUNT_NUM
Brooklyn,317,The James Brooklyn- SoHo,Outdoor Pool;24-hour Front Desk;Multilingual Staff;,1758,4.5,Brooklyn,0.8 km from SoHo Shopping District,0
Brooklyn,318,Brooklyn Marriott at the Brooklyn Bridge,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,715,4,Brooklyn,null,0
Manhattan,319,Cassa Hotel Times Square,Free WI-Fi;24-hour Front Desk;Express Check-out;,1652,4.5,Manhattan,0.7 km from Madame Tussauds Brooklyn,0
Manhattan,319,Warwick Brooklyn,24-hour Front Desk;Multilingual Staff;Concierge Service;,4941,4.5,Manhattan,null,0
Manhattan,320,Kimpton Ink48 Hotel,24-hour Front Desk;Multilingual Staff;Restaurant;,3536,4.5,Manhattan,1.2 km from Broadway Shopping District,0
Long Beach,321,Allegria Hotel,Free Internet Services;Free WI-Fi;Outdoor Pool;,1587,3.5,Long Beach,null,0
Manhattan,321,The Bryant Park Hotel,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,4219,4.5,Manhattan,0.8 km from Empire State Building,0
Manhattan,322,Hotel Americano,Free WI-Fi;Swimming Pool;Pool; Sun Lounge,521,3.5,Manhattan,2.5 km from Madame Tussauds Brooklyn,0
Brooklyn,322,Hilton Garden Inn Brooklyn-Times Square Central,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,2101,4,Brooklyn,0.3 km from Madame Tussauds Brooklyn,0
Manhattan,323,Hilton Garden Inn Times Square,Free Internet Services;Free WI-Fi;24-hour Front Desk;,8316,4.5,Manhattan,0.7 km from Times Square,0
Manhattan,328,Courtyard by Marriott Brooklyn Manhattan/Herald Square,Free Internet Services;Free WI-Fi;24-hour Front Desk;,899,4.5,Manhattan,0.7 km from Empire State Building,0
Manhattan,328,Renaissance Brooklyn Times Square Hotel,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,2656,4.5,Manhattan,null,0
Manhattan,329,Courtyard Brooklyn Manhattan/Fifth Avenue,,1010,4,Manhattan,0.8 km from Fifth Avenue Shopping Street,0
Manhattan,332,Courtyard by Marriott Brooklyn City Manhattan Manhattan East,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,2578,4.5,Manhattan,1.1 km from Rockfeller Center,0
Brooklyn,334,Courtyard by Marriott Brooklyn Manhattan/SoHo,Free Internet Services;Free WI-Fi;24-hour Front Desk;,624,4.5,Brooklyn,1.5 km from SoHo Shopping District,0
Manhattan,334,InterContinental - Brooklyn Times Square,Free WI-Fi;24-hour Front Desk;Restaurant;,6769,4,Manhattan,1 min from Broadway Shopping District,0
Manhattan,337,Shelburne Hotel & Suites by Affinia,Free WI-Fi;24-hour Front Desk;Restaurant;,5349,4.5,Manhattan,0.9 km from Empire State Building,0
Manhattan,339,Lotte Brooklyn Palace,24-hour Front Desk;Multilingual Staff;Restaurant;,4756,4.5,Manhattan,0.5 km from Rockfeller Center,0
Manhattan,339,Hotel Elysee by Library Hotel Collection,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,4669,4.5,Manhattan,0.9 km from Rockfeller Center,0
